binary,l1i_size,l1i_assoc,l1d_size,l1d_assoc,l2_size,l2_assoc,cache_line_size,l1i_rp,l1d_rp,l2_rp,simInsts,simOps,system.cpu.numCycles,system.cpu.cpi,system.cpu.ipc,system.cpu.dcache.overallHits::cpu.data,system.cpu.dcache.overallMisses::cpu.data,system.cpu.dcache.overallMissRate::cpu.data,system.cpu.icache.overallHits::cpu.inst,system.cpu.icache.overallMisses::cpu.inst,system.cpu.icache.overallMissRate::cpu.inst,system.l2cache.overallHits::total,system.l2cache.overallMisses::cpu.inst,system.l2cache.overallMisses::cpu.data,system.l2cache.overallMisses::total,system.l2cache.overallMissRate::total,experiment
/home/arqui/lab2/laboratorio-2-grupo8/benchmark/array/permutation_64_bin,16kB,2,64kB,2,256kB,8,64,FIFO,FIFO,FIFO,153789,278811,853058,5.544702,0.180352,66966,2185,0.031598,200947,1180,0.005838,391,1007,1969,2976,0.883873,1
/home/arqui/lab2/laboratorio-2-grupo8/benchmark/array/unrolling_64_bin,16kB,2,64kB,2,256kB,8,64,FIFO,FIFO,FIFO,144573,251163,811955,5.613821,0.178132,57750,2185,0.036456,188658,1181,0.006221,391,1008,1969,2977,0.883907,2
/home/arqui/lab2/laboratorio-2-grupo8/benchmark/array/tilin_64_bin,16kB,2,64kB,2,256kB,8,64,FIFO,FIFO,FIFO,153789,278811,853058,5.544702,0.180352,66963,2188,0.031641,200947,1180,0.005838,394,1007,1969,2976,0.883086,3
