binary,l1i_size,l1i_assoc,l1d_size,l1d_assoc,l2_size,l2_assoc,cache_line_size,l1i_rp,l1d_rp,l2_rp,simInsts,simOps,system.cpu.numCycles,system.cpu.cpi,system.cpu.ipc,system.cpu.dcache.overallHits::cpu.data,system.cpu.dcache.overallMisses::cpu.data,system.cpu.dcache.overallMissRate::cpu.data,system.cpu.icache.overallHits::cpu.inst,system.cpu.icache.overallMisses::cpu.inst,system.cpu.icache.overallMissRate::cpu.inst,system.l2cache.overallHits::total,system.l2cache.overallMisses::cpu.inst,system.l2cache.overallMisses::cpu.data,system.l2cache.overallMisses::total,system.l2cache.overallMissRate::total,experiment
/home/arqui/lab2/Laboratorio2_2Sem23/laboratorio-2-grupo8/gem5/Part1_optimizations/Tiling_OP-O0,16kB,2,64kB,2,256kB,8,64,FIFO,FIFO,FIFO,326719,588034,1677787,5.134301,0.194768,164779,3025,0.018027,472710,1176,0.002482,455,1008,2741,3749,0.891770,1
/home/arqui/lab2/Laboratorio2_2Sem23/laboratorio-2-grupo8/gem5/Part1_optimizations/Tiling_OP-O1,16kB,2,64kB,2,256kB,8,64,FIFO,FIFO,FIFO,178868,324324,977025,5.460406,0.183137,49442,3025,0.057655,242681,1175,0.004818,455,1007,2741,3748,0.891744,2
/home/arqui/lab2/Laboratorio2_2Sem23/laboratorio-2-grupo8/gem5/Part1_optimizations/Tiling_OP-O2,16kB,2,64kB,2,256kB,8,64,FIFO,FIFO,FIFO,150196,254692,899311,5.985152,0.167080,49442,3025,0.057655,201720,1176,0.005796,455,1008,2741,3749,0.891770,3
/home/arqui/lab2/Laboratorio2_2Sem23/laboratorio-2-grupo8/gem5/Part1_optimizations/Tiling_OP-O3,16kB,2,64kB,2,256kB,8,64,FIFO,FIFO,FIFO,150196,254692,899311,5.985152,0.167080,49442,3025,0.057655,201720,1176,0.005796,455,1008,2741,3749,0.891770,4
